model,attempt,score_type,Brute_Force,SQLi,File_Inclusion,XSS
payload_LSTM,8,recall,0.4540708700006392,0.0,0.0,0.5
payload_LSTM,8,f1score,0.0,0.0,0.0,0.0004157139887757223
payload_LSTM,9,accuracy,0.5248137793872075,0.5373988662006715,0.9796511627906976,0.8530129299829227
payload_LSTM,9,precision,0.0,0.5,0.0,0.0002074688796680498
payload_LSTM,9,recall,0.4540708700006392,0.0,0.0,0.5
payload_LSTM,9,f1score,0.0,0.0,0.0,0.00041476565740356696
payload_LSTM,10,accuracy,0.5246464343324455,0.5364804510177186,0.9800974105609868,0.8559319440619358
payload_LSTM,10,precision,0.0,0.5,0.0,0.0
payload_LSTM,10,recall,0.4540708700006392,0.0,0.0,0.5
payload_LSTM,10,f1score,0.0,0.0,0.0,0.0
DNN,1,accuracy,0.512212613811167,0.9546416382252559,0.9794796372167944,0.8103535825961461
DNN,1,precision,0.5,0.0,0.0,0.33117249154453215
DNN,1,recall,0.4540708700006392,0.0,0.0,0.5
DNN,1,f1score,0.4759299170305189,0.0,0.0,0.3984401492031197
DNN,2,accuracy,0.5126021550153558,0.9565678328374543,0.9784517437996292,0.8076320055273578
DNN,2,precision,0.5,0.0,0.0,0.33443845835060093
DNN,2,recall,0.4540708700006392,0.0,0.0,0.5
DNN,2,f1score,0.4759299170305189,0.0,0.0,0.4007946362056121
DNN,3,accuracy,0.5119645525485639,0.9553916043310449,0.9802004485562097,0.8113460353190235
DNN,3,precision,0.5,0.0,0.0,0.3275568181818182
DNN,3,recall,0.4540708700006392,0.0,0.0,0.5
DNN,3,f1score,0.4759299170305189,0.0,0.0,0.3958118777892207
DNN,4,accuracy,0.5121968949582013,0.9558486826367768,0.980715963675888,0.8096776777846022
DNN,4,precision,0.5,0.0,0.0,0.3295916935597025
DNN,4,recall,0.4540708700006392,0.0,0.0,0.5
DNN,4,f1score,0.4759299170305189,0.0,0.0,0.3972938689217759
DNN,5,accuracy,0.5123347148213934,0.955750700471537,0.9808191317764219,0.809291409979465
DNN,5,precision,0.5,0.0,0.0,0.3321213816249476
DNN,5,recall,0.4540708700006392,0.0,0.0,0.5
DNN,5,f1score,0.4759299170305189,0.0,0.0,0.3991261238551383
DNN,6,accuracy,0.5122732234755939,0.9544461884938238,0.9803378662554325,0.8095873592056798
DNN,6,precision,0.5,0.0,0.0,0.3309503784693019
DNN,6,recall,0.4540708700006392,0.0,0.0,0.5
DNN,6,f1score,0.4759299170305189,0.0,0.0,0.3982793522267206
DNN,7,accuracy,0.5119131699210636,0.954185713311046,0.9798227484499247,0.8115028824239174
DNN,7,precision,0.5,0.0,0.0,0.3263157894736842
DNN,7,recall,0.4540708700006392,0.0,0.0,0.5
DNN,7,f1score,0.4759299170305189,0.0,0.0,0.39490445859872614
DNN,8,accuracy,0.5122024831662972,0.9543810563668623,0.9796511627906976,0.8090955189623422
DNN,8,precision,0.5,0.0,0.0,0.3278344750454355
DNN,8,recall,0.4540708700006392,0.0,0.0,0.5
DNN,8,f1score,0.4759299170305189,0.0,0.0,0.3960145233471249
DNN,9,accuracy,0.5121316797070085,0.9549023624197733,0.979685475114707,0.8090724622203236
DNN,9,precision,0.5,0.0,0.0,0.3261082366102643
DNN,9,recall,0.4540708700006392,0.0,0.0,0.5
DNN,9,f1score,0.4759299170305189,0.0,0.0,0.39475243334743965
DNN,10,accuracy,0.5123544624588444,0.9543484936367669,0.9801661001506816,0.8106953014397521
DNN,10,precision,0.5,0.0,0.0,0.3356850571468887
DNN,10,recall,0.4540708700006392,0.0,0.0,0.5
DNN,10,f1score,0.4759299170305189,0.0,0.0,0.40168847615027437
non_weighted_Ensemble,1,accuracy,0.5226147173292893,0.9168283371925653,0.9605772141679841,0.8103535825961461
non_weighted_Ensemble,1,precision,0.5,0.5,0.5,0.33117249154453215
non_weighted_Ensemble,1,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,1,f1score,0.4759299170305189,0.0,0.0,0.3984401492031197
non_weighted_Ensemble,2,accuracy,0.5228684598965689,0.9200780340454989,0.95868406049834,0.8076320055273578
non_weighted_Ensemble,2,precision,0.5,0.5,0.5,0.33443845835060093
non_weighted_Ensemble,2,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,2,f1score,0.4759299170305189,0.0,0.0,0.4007946362056121
non_weighted_Ensemble,3,accuracy,0.5221012307269014,0.9180908777321334,0.961909256387784,0.8113460353190235
non_weighted_Ensemble,3,precision,0.5,0.5,0.5,0.3275568181818182
non_weighted_Ensemble,3,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,3,f1score,0.4759299170305189,0.0,0.0,0.3958118777892207
non_weighted_Ensemble,4,accuracy,0.5221856373010916,0.9188620592206487,0.9628641841936464,0.8096776777846022
non_weighted_Ensemble,4,precision,0.5,0.5,0.5,0.3295916935597025
