model,attempt,score_type,attack_name,score
file_data_LSTM,6,recall,PW_Injection,1.0
file_data_LSTM,6,recall,SQLi,1.0
file_data_LSTM,6,recall,File_Inclusion,1.0
file_data_LSTM,6,recall,XSS,0.07010135135135136
file_data_LSTM,6,f1_score,PW_Injection,0.9063695892507865
file_data_LSTM,6,f1_score,SQLi,1.0
file_data_LSTM,6,f1_score,File_Inclusion,1.0
file_data_LSTM,6,f1_score,XSS,0.13101815311760062
file_data_LSTM,7,accuracy,PW_Injection,0.8394766007650781
file_data_LSTM,7,accuracy,SQLi,1.0
file_data_LSTM,7,accuracy,File_Inclusion,1.0
file_data_LSTM,7,accuracy,XSS,0.8394766007650781
file_data_LSTM,7,precision,PW_Injection,0.8255294346221099
file_data_LSTM,7,precision,SQLi,1.0
file_data_LSTM,7,precision,File_Inclusion,1.0
file_data_LSTM,7,precision,XSS,1.0
file_data_LSTM,7,recall,PW_Injection,1.0
file_data_LSTM,7,recall,SQLi,1.0
file_data_LSTM,7,recall,File_Inclusion,1.0
file_data_LSTM,7,recall,XSS,0.06613976705490848
file_data_LSTM,7,f1_score,PW_Injection,0.9044274159216688
file_data_LSTM,7,f1_score,SQLi,1.0
file_data_LSTM,7,f1_score,File_Inclusion,1.0
file_data_LSTM,7,f1_score,XSS,0.12407335154116268
file_data_LSTM,8,accuracy,PW_Injection,0.8394050981373565
file_data_LSTM,8,accuracy,SQLi,1.0
file_data_LSTM,8,accuracy,File_Inclusion,1.0
file_data_LSTM,8,accuracy,XSS,0.8394050981373565
file_data_LSTM,8,precision,PW_Injection,0.8255059627860001
file_data_LSTM,8,precision,SQLi,1.0
file_data_LSTM,8,precision,File_Inclusion,1.0
file_data_LSTM,8,precision,XSS,1.0
file_data_LSTM,8,recall,PW_Injection,1.0
file_data_LSTM,8,recall,SQLi,1.0
file_data_LSTM,8,recall,File_Inclusion,1.0
file_data_LSTM,8,recall,XSS,0.06785640174310023
file_data_LSTM,8,f1_score,PW_Injection,0.904413329361195
file_data_LSTM,8,f1_score,SQLi,1.0
file_data_LSTM,8,f1_score,File_Inclusion,1.0
file_data_LSTM,8,f1_score,XSS,0.12708900116595415
file_data_LSTM,9,accuracy,PW_Injection,0.8437667584283722
file_data_LSTM,9,accuracy,SQLi,1.0
file_data_LSTM,9,accuracy,File_Inclusion,1.0
file_data_LSTM,9,accuracy,XSS,0.8437667584283722
file_data_LSTM,9,precision,PW_Injection,0.8301527459287186
file_data_LSTM,9,precision,SQLi,1.0
file_data_LSTM,9,precision,File_Inclusion,1.0
file_data_LSTM,9,precision,XSS,1.0
file_data_LSTM,9,recall,PW_Injection,1.0
file_data_LSTM,9,recall,SQLi,1.0
file_data_LSTM,9,recall,File_Inclusion,1.0
file_data_LSTM,9,recall,XSS,0.07179269328802039
file_data_LSTM,9,f1_score,PW_Injection,0.9071950390757731
file_data_LSTM,9,f1_score,SQLi,1.0
file_data_LSTM,9,f1_score,File_Inclusion,1.0
file_data_LSTM,9,f1_score,XSS,0.13396749900911611
payload_LSTM,0,accuracy,PW_Injection,0.0952415001251296
payload_LSTM,0,accuracy,SQLi,0.19051875156412
payload_LSTM,0,accuracy,File_Inclusion,0.9789782274498587
payload_LSTM,0,accuracy,XSS,0.830360015730578
payload_LSTM,0,precision,PW_Injection,0.0
payload_LSTM,0,precision,SQLi,0.05544199240749239
payload_LSTM,0,precision,File_Inclusion,0.0
payload_LSTM,0,precision,XSS,1.0
payload_LSTM,0,recall,PW_Injection,0.0
payload_LSTM,0,recall,SQLi,1.0
payload_LSTM,0,recall,File_Inclusion,0.0
payload_LSTM,0,recall,XSS,0.00021070375052675939
payload_LSTM,0,f1_score,PW_Injection,0.0
payload_LSTM,0,f1_score,SQLi,0.10505928853754941
payload_LSTM,0,f1_score,File_Inclusion,0.0
payload_LSTM,0,f1_score,XSS,0.0004213187276174426
payload_LSTM,1,accuracy,PW_Injection,0.0947767330449394
payload_LSTM,1,accuracy,SQLi,0.19037574630867685
payload_LSTM,1,accuracy,File_Inclusion,0.9779056880340352
payload_LSTM,1,accuracy,XSS,0.8277501698187408
payload_LSTM,1,precision,PW_Injection,0.0
payload_LSTM,1,precision,SQLi,0.05310252550593745
payload_LSTM,1,precision,File_Inclusion,0.0
payload_LSTM,1,precision,XSS,nan
payload_LSTM,1,recall,PW_Injection,0.0
payload_LSTM,1,recall,SQLi,1.0
payload_LSTM,1,recall,File_Inclusion,0.0
payload_LSTM,1,recall,XSS,0.0
payload_LSTM,1,f1_score,PW_Injection,0.0
payload_LSTM,1,f1_score,SQLi,0.10084967839275788
payload_LSTM,1,f1_score,File_Inclusion,0.0
payload_LSTM,1,f1_score,XSS,nan
payload_LSTM,2,accuracy,PW_Injection,0.09284616209645705
payload_LSTM,2,accuracy,SQLi,0.19008973579779057
payload_LSTM,2,accuracy,File_Inclusion,0.9796932537270745
payload_LSTM,2,accuracy,XSS,0.8307532801830467
payload_LSTM,2,precision,PW_Injection,0.0
payload_LSTM,2,precision,SQLi,0.054507512520868114
payload_LSTM,2,precision,File_Inclusion,0.0
payload_LSTM,2,precision,XSS,nan
payload_LSTM,2,recall,PW_Injection,0.0
payload_LSTM,2,recall,SQLi,1.0
payload_LSTM,2,recall,File_Inclusion,0.0
payload_LSTM,2,recall,XSS,0.0
payload_LSTM,2,f1_score,PW_Injection,0.0
payload_LSTM,2,f1_score,SQLi,0.10338003641257025
payload_LSTM,2,f1_score,File_Inclusion,0.0
payload_LSTM,2,f1_score,XSS,nan
payload_LSTM,3,accuracy,PW_Injection,0.09220263844696293
payload_LSTM,3,accuracy,SQLi,0.19084051338886704
payload_LSTM,3,accuracy,File_Inclusion,0.9801937721211255
payload_LSTM,3,accuracy,XSS,0.829215973687033
payload_LSTM,3,precision,PW_Injection,0.0
payload_LSTM,3,precision,SQLi,0.05400208986415883
payload_LSTM,3,precision,File_Inclusion,0.0
payload_LSTM,3,precision,XSS,1.0
payload_LSTM,3,recall,PW_Injection,0.0
payload_LSTM,3,recall,SQLi,1.0
payload_LSTM,3,recall,File_Inclusion,0.0
payload_LSTM,3,recall,XSS,0.0002092925910422771
payload_LSTM,3,f1_score,PW_Injection,0.0
payload_LSTM,3,f1_score,SQLi,0.10247055557758655
payload_LSTM,3,f1_score,File_Inclusion,0.0
payload_LSTM,3,f1_score,XSS,0.0004184975936388366
payload_LSTM,4,accuracy,PW_Injection,0.09495548961424333
payload_LSTM,4,accuracy,SQLi,0.18801615959386508
payload_LSTM,4,accuracy,File_Inclusion,0.9804082800042901
payload_LSTM,4,accuracy,XSS,0.8292874763147545
payload_LSTM,4,precision,PW_Injection,0.0
payload_LSTM,4,precision,SQLi,0.05394260007497813
payload_LSTM,4,precision,File_Inclusion,0.0
payload_LSTM,4,precision,XSS,1.0
payload_LSTM,4,recall,PW_Injection,0.0
payload_LSTM,4,recall,SQLi,1.0
payload_LSTM,4,recall,File_Inclusion,0.0
payload_LSTM,4,recall,XSS,0.00020938023450586265
payload_LSTM,4,f1_score,PW_Injection,0.0
payload_LSTM,4,f1_score,SQLi,0.10236344952968145
payload_LSTM,4,f1_score,File_Inclusion,0.0
payload_LSTM,4,f1_score,XSS,0.0004186728072011723
payload_LSTM,5,accuracy,PW_Injection,0.09463372778949626
payload_LSTM,5,accuracy,SQLi,0.19162704229380428
payload_LSTM,5,accuracy,File_Inclusion,0.9798362589825176
payload_LSTM,5,accuracy,XSS,0.8293589789424761
payload_LSTM,5,precision,PW_Injection,0.0
payload_LSTM,5,precision,SQLi,0.05575043848659484
payload_LSTM,5,precision,File_Inclusion,0.0
payload_LSTM,5,precision,XSS,nan
payload_LSTM,5,recall,PW_Injection,0.0
payload_LSTM,5,recall,SQLi,1.0
payload_LSTM,5,recall,File_Inclusion,0.0
payload_LSTM,5,recall,XSS,0.0
payload_LSTM,5,f1_score,PW_Injection,0.0
payload_LSTM,5,f1_score,SQLi,0.10561291088168981
payload_LSTM,5,f1_score,File_Inclusion,0.0
payload_LSTM,5,f1_score,XSS,nan
payload_LSTM,6,accuracy,PW_Injection,0.0940974580815845
payload_LSTM,6,accuracy,SQLi,0.19194880411855136
payload_LSTM,6,accuracy,File_Inclusion,0.9793357405884666
payload_LSTM,6,accuracy,XSS,0.8307175288691859
payload_LSTM,6,precision,PW_Injection,0.0
payload_LSTM,6,precision,SQLi,0.05608686573397369
payload_LSTM,6,precision,File_Inclusion,0.0
payload_LSTM,6,precision,XSS,1.0
payload_LSTM,6,recall,PW_Injection,0.0
payload_LSTM,6,recall,SQLi,1.0
payload_LSTM,6,recall,File_Inclusion,0.0
payload_LSTM,6,recall,XSS,0.00021114864864864866
payload_LSTM,6,f1_score,PW_Injection,0.0
payload_LSTM,6,f1_score,SQLi,0.1062163872192344
payload_LSTM,6,f1_score,File_Inclusion,0.0
payload_LSTM,6,f1_score,XSS,0.0004222081486172683
payload_LSTM,7,accuracy,PW_Injection,0.09488398698652176
payload_LSTM,7,accuracy,SQLi,0.1934503593007043
payload_LSTM,7,accuracy,File_Inclusion,0.9791927353330235
payload_LSTM,7,accuracy,XSS,0.8281434342712095
payload_LSTM,7,precision,PW_Injection,0.0
payload_LSTM,7,precision,SQLi,0.05594844541155793
payload_LSTM,7,precision,File_Inclusion,0.0
payload_LSTM,7,precision,XSS,1.0
payload_LSTM,7,recall,PW_Injection,0.0
payload_LSTM,7,recall,SQLi,1.0
payload_LSTM,7,recall,File_Inclusion,0.0
payload_LSTM,7,recall,XSS,0.00020798668885191348
payload_LSTM,7,f1_score,PW_Injection,0.0
payload_LSTM,7,f1_score,SQLi,0.10596813822620274
payload_LSTM,7,f1_score,File_Inclusion,0.0
payload_LSTM,7,f1_score,XSS,0.0004158868787689748
payload_LSTM,8,accuracy,PW_Injection,0.09456222516177469
payload_LSTM,8,accuracy,SQLi,0.1929855922205141
payload_LSTM,8,accuracy,File_Inclusion,0.9792284866468842
payload_LSTM,8,accuracy,XSS,0.8277501698187408
payload_LSTM,8,precision,PW_Injection,0.0
payload_LSTM,8,precision,SQLi,0.05528584581903407
payload_LSTM,8,precision,File_Inclusion,0.0
payload_LSTM,8,precision,XSS,1.0
payload_LSTM,8,recall,PW_Injection,0.0
payload_LSTM,8,recall,SQLi,1.0
payload_LSTM,8,recall,File_Inclusion,0.0
payload_LSTM,8,recall,XSS,0.00020751193193608634
payload_LSTM,8,f1_score,PW_Injection,0.0
payload_LSTM,8,f1_score,SQLi,0.10477890144755107
payload_LSTM,8,f1_score,File_Inclusion,0.0
payload_LSTM,8,f1_score,XSS,0.0004149377593360996
payload_LSTM,9,accuracy,PW_Injection,0.09395445282614136
payload_LSTM,9,accuracy,SQLi,0.19033999499481605
payload_LSTM,9,accuracy,File_Inclusion,0.9796932537270745
payload_LSTM,9,accuracy,XSS,0.8316828143434272
payload_LSTM,9,precision,PW_Injection,0.0
payload_LSTM,9,precision,SQLi,0.055784865540963104
payload_LSTM,9,precision,File_Inclusion,0.0
payload_LSTM,9,precision,XSS,nan
payload_LSTM,9,recall,PW_Injection,0.0
payload_LSTM,9,recall,SQLi,1.0
payload_LSTM,9,recall,File_Inclusion,0.0
payload_LSTM,9,recall,XSS,0.0
payload_LSTM,9,f1_score,PW_Injection,0.0
payload_LSTM,9,f1_score,SQLi,0.1056746830944201
payload_LSTM,9,f1_score,File_Inclusion,0.0
payload_LSTM,9,f1_score,XSS,nan
DNN,0,accuracy,PW_Injection,0.8458760859461585
DNN,0,accuracy,SQLi,0.9524865038790176
DNN,0,accuracy,File_Inclusion,0.9790497300775803
DNN,0,accuracy,XSS,0.9143398519895606
DNN,0,precision,PW_Injection,0.8317395886187112
DNN,0,precision,SQLi,nan
DNN,0,precision,File_Inclusion,nan
DNN,0,precision,XSS,1.0
DNN,0,recall,PW_Injection,1.0
DNN,0,recall,SQLi,0.0
DNN,0,recall,File_Inclusion,0.0
DNN,0,recall,XSS,0.49515381373788453
DNN,0,f1_score,PW_Injection,0.9081417400012783
DNN,0,f1_score,SQLi,nan
DNN,0,f1_score,File_Inclusion,nan
DNN,0,f1_score,XSS,0.6623449830890643
DNN,1,accuracy,PW_Injection,0.8468771227342605
DNN,1,accuracy,SQLi,0.9545958313968038
DNN,1,accuracy,File_Inclusion,0.9779771906617568
DNN,1,accuracy,XSS,0.9143041006756998
DNN,1,precision,PW_Injection,0.8323679060665362
DNN,1,precision,SQLi,nan
DNN,1,precision,File_Inclusion,nan
DNN,1,precision,XSS,1.0
DNN,1,recall,PW_Injection,1.0
DNN,1,recall,SQLi,0.0
DNN,1,recall,File_Inclusion,0.0
DNN,1,recall,XSS,0.5024906600249066
DNN,1,f1_score,PW_Injection,0.9085161373005533
DNN,1,f1_score,SQLi,nan
DNN,1,f1_score,File_Inclusion,nan
DNN,1,f1_score,XSS,0.6688769167012019
DNN,2,accuracy,PW_Injection,0.846305101712488
DNN,2,accuracy,SQLi,0.9533087840978156
DNN,2,accuracy,File_Inclusion,0.9798005076686568
DNN,2,accuracy,XSS,0.9131958099460156
DNN,2,precision,PW_Injection,0.8324956165984804
DNN,2,precision,SQLi,nan
DNN,2,precision,File_Inclusion,nan
DNN,2,precision,XSS,1.0
DNN,2,recall,PW_Injection,1.0
DNN,2,recall,SQLi,0.0
DNN,2,recall,File_Inclusion,0.0
DNN,2,recall,XSS,0.4871144909167723
DNN,2,f1_score,PW_Injection,0.9085922051412897
DNN,2,f1_score,SQLi,nan
DNN,2,f1_score,File_Inclusion,nan
DNN,2,f1_score,XSS,0.6551136363636363
DNN,3,accuracy,PW_Injection,0.8473061385005899
DNN,3,accuracy,SQLi,0.9538093024918666
DNN,3,accuracy,File_Inclusion,0.9803367773765685
DNN,3,accuracy,XSS,0.9131600586321548
DNN,3,precision,PW_Injection,0.8333073140270081
DNN,3,precision,SQLi,nan
DNN,3,precision,File_Inclusion,nan
DNN,3,precision,XSS,1.0
DNN,3,recall,PW_Injection,1.0
DNN,3,recall,SQLi,0.0
DNN,3,recall,File_Inclusion,0.0
DNN,3,recall,XSS,0.4916282963583089
DNN,3,f1_score,PW_Injection,0.9090754263087306
DNN,3,f1_score,SQLi,nan
DNN,3,f1_score,File_Inclusion,nan
DNN,3,f1_score,XSS,0.659183387119405
DNN,4,accuracy,PW_Injection,0.8483071752886918
DNN,4,accuracy,SQLi,0.9537020485502842
DNN,4,accuracy,File_Inclusion,0.9804440313181509
DNN,4,accuracy,XSS,0.9141610954202567
DNN,4,precision,PW_Injection,0.8342319112361306
DNN,4,precision,SQLi,nan
DNN,4,precision,File_Inclusion,nan
DNN,4,precision,XSS,1.0
DNN,4,recall,PW_Injection,1.0
DNN,4,recall,SQLi,0.0
DNN,4,recall,File_Inclusion,0.0
DNN,4,recall,XSS,0.4972780569514238
DNN,4,f1_score,PW_Injection,0.9096253381328675
DNN,4,f1_score,SQLi,nan
DNN,4,f1_score,File_Inclusion,nan
DNN,4,f1_score,XSS,0.6642427632498952
DNN,5,accuracy,PW_Injection,0.8459833398877409
DNN,5,accuracy,SQLi,0.9522719959958529
DNN,5,accuracy,File_Inclusion,0.9799435129241
DNN,5,accuracy,XSS,0.913767830967788
DNN,5,precision,PW_Injection,0.8317844591956267
DNN,5,precision,SQLi,nan
DNN,5,precision,File_Inclusion,nan
DNN,5,precision,XSS,1.0
DNN,5,recall,PW_Injection,1.0
DNN,5,recall,SQLi,0.0
DNN,5,recall,File_Inclusion,0.0
DNN,5,recall,XSS,0.49465744814582024
DNN,5,f1_score,PW_Injection,0.908168485675307
DNN,5,f1_score,SQLi,nan
DNN,5,f1_score,File_Inclusion,nan
DNN,5,f1_score,XSS,0.6619007569386038
DNN,6,accuracy,PW_Injection,0.8440885202531193
DNN,6,accuracy,SQLi,0.9519859854849666
DNN,6,accuracy,File_Inclusion,0.9794072432161882
DNN,6,accuracy,XSS,0.9126952915519645
DNN,6,precision,PW_Injection,0.830159286521011
DNN,6,precision,SQLi,nan
DNN,6,precision,File_Inclusion,nan
DNN,6,precision,XSS,1.0
DNN,6,recall,PW_Injection,1.0
DNN,6,recall,SQLi,0.0
DNN,6,recall,File_Inclusion,0.0
DNN,6,recall,XSS,0.484375
DNN,6,f1_score,PW_Injection,0.9071989445236524
DNN,6,f1_score,SQLi,nan
DNN,6,f1_score,File_Inclusion,nan
DNN,6,f1_score,XSS,0.6526315789473685
DNN,7,accuracy,PW_Injection,0.8433734939759037
DNN,7,accuracy,SQLi,0.9522004933681313
DNN,7,accuracy,File_Inclusion,0.9792284866468842
DNN,7,accuracy,XSS,0.911944513960888
DNN,7,precision,PW_Injection,0.8290408179193007
DNN,7,precision,SQLi,nan
DNN,7,precision,File_Inclusion,nan
DNN,7,precision,XSS,1.0
DNN,7,recall,PW_Injection,1.0
DNN,7,recall,SQLi,0.0
DNN,7,recall,File_Inclusion,0.0
DNN,7,recall,XSS,0.4877287853577371
DNN,7,f1_score,PW_Injection,0.906530690618933
DNN,7,f1_score,SQLi,nan
DNN,7,f1_score,File_Inclusion,nan
DNN,7,f1_score,XSS,0.655668950090871
DNN,8,accuracy,PW_Injection,0.8431232347788781
DNN,8,accuracy,SQLi,0.9527725143899038
DNN,8,accuracy,File_Inclusion,0.979264237960745
DNN,8,accuracy,XSS,0.9110864824282292
DNN,8,precision,PW_Injection,0.8288544795038808
DNN,8,precision,SQLi,nan
DNN,8,precision,File_Inclusion,nan
DNN,8,precision,XSS,1.0
DNN,8,recall,PW_Injection,1.0
DNN,8,recall,SQLi,0.0
DNN,8,recall,File_Inclusion,0.0
DNN,8,recall,XSS,0.4839178252749533
DNN,8,f1_score,PW_Injection,0.9064192791640009
DNN,8,f1_score,SQLi,nan
DNN,8,f1_score,File_Inclusion,nan
DNN,8,f1_score,XSS,0.6522164732205286
DNN,9,accuracy,PW_Injection,0.8486646884272997
DNN,9,accuracy,SQLi,0.9521647420542705
DNN,9,accuracy,File_Inclusion,0.979764756354796
DNN,9,accuracy,XSS,0.9167351900182331
DNN,9,precision,PW_Injection,0.8345967489840576
DNN,9,precision,SQLi,nan
DNN,9,precision,File_Inclusion,nan
DNN,9,precision,XSS,1.0
DNN,9,recall,PW_Injection,1.0
DNN,9,recall,SQLi,0.0
DNN,9,recall,File_Inclusion,0.0
DNN,9,recall,XSS,0.5053101104502974
DNN,9,f1_score,PW_Injection,0.9098421758854978
DNN,9,f1_score,SQLi,nan
DNN,9,f1_score,File_Inclusion,nan
DNN,9,f1_score,XSS,0.6713701142937774
non_weighted_Ensemble,0,accuracy,PW_Injection,0.9143398519895606
non_weighted_Ensemble,0,accuracy,SQLi,1.0
non_weighted_Ensemble,0,accuracy,File_Inclusion,1.0
non_weighted_Ensemble,0,accuracy,XSS,0.9143398519895606
non_weighted_Ensemble,0,precision,PW_Injection,0.8989285412975618
non_weighted_Ensemble,0,precision,SQLi,1.0
non_weighted_Ensemble,0,precision,File_Inclusion,1.0
non_weighted_Ensemble,0,precision,XSS,1.0
non_weighted_Ensemble,0,recall,PW_Injection,1.0
non_weighted_Ensemble,0,recall,SQLi,1.0
non_weighted_Ensemble,0,recall,File_Inclusion,1.0
non_weighted_Ensemble,0,recall,XSS,0.49515381373788453
non_weighted_Ensemble,0,f1_score,PW_Injection,0.9467744801848232
non_weighted_Ensemble,0,f1_score,SQLi,1.0
non_weighted_Ensemble,0,f1_score,File_Inclusion,1.0
non_weighted_Ensemble,0,f1_score,XSS,0.6623449830890643
non_weighted_Ensemble,1,accuracy,PW_Injection,0.9143041006756998
non_weighted_Ensemble,1,accuracy,SQLi,1.0
non_weighted_Ensemble,1,accuracy,File_Inclusion,1.0
non_weighted_Ensemble,1,accuracy,XSS,0.9143041006756998
non_weighted_Ensemble,1,precision,PW_Injection,0.8987068965517241
non_weighted_Ensemble,1,precision,SQLi,1.0
non_weighted_Ensemble,1,precision,File_Inclusion,1.0
non_weighted_Ensemble,1,precision,XSS,1.0
non_weighted_Ensemble,1,recall,PW_Injection,1.0
non_weighted_Ensemble,1,recall,SQLi,1.0
non_weighted_Ensemble,1,recall,File_Inclusion,1.0
non_weighted_Ensemble,1,recall,XSS,0.5024906600249066
non_weighted_Ensemble,1,f1_score,PW_Injection,0.9466515323496026
non_weighted_Ensemble,1,f1_score,SQLi,1.0
non_weighted_Ensemble,1,f1_score,File_Inclusion,1.0
non_weighted_Ensemble,1,f1_score,XSS,0.6688769167012019
non_weighted_Ensemble,2,accuracy,PW_Injection,0.9131958099460156
non_weighted_Ensemble,2,accuracy,SQLi,1.0
non_weighted_Ensemble,2,accuracy,File_Inclusion,1.0
non_weighted_Ensemble,2,accuracy,XSS,0.9131958099460156
non_weighted_Ensemble,2,precision,PW_Injection,0.8979574682693116
non_weighted_Ensemble,2,precision,SQLi,1.0
non_weighted_Ensemble,2,precision,File_Inclusion,1.0
non_weighted_Ensemble,2,precision,XSS,1.0
non_weighted_Ensemble,2,recall,PW_Injection,1.0
non_weighted_Ensemble,2,recall,SQLi,1.0
non_weighted_Ensemble,2,recall,File_Inclusion,1.0
non_weighted_Ensemble,2,recall,XSS,0.4871144909167723
non_weighted_Ensemble,2,f1_score,PW_Injection,0.9462356067316209
non_weighted_Ensemble,2,f1_score,SQLi,1.0
non_weighted_Ensemble,2,f1_score,File_Inclusion,1.0
non_weighted_Ensemble,2,f1_score,XSS,0.6551136363636363
non_weighted_Ensemble,3,accuracy,PW_Injection,0.9131600586321548
non_weighted_Ensemble,3,accuracy,SQLi,1.0
non_weighted_Ensemble,3,accuracy,File_Inclusion,1.0
non_weighted_Ensemble,3,accuracy,XSS,0.9131600586321548
non_weighted_Ensemble,3,precision,PW_Injection,0.8978553406223717
non_weighted_Ensemble,3,precision,SQLi,1.0
non_weighted_Ensemble,3,precision,File_Inclusion,1.0
non_weighted_Ensemble,3,precision,XSS,1.0
non_weighted_Ensemble,3,recall,PW_Injection,1.0
non_weighted_Ensemble,3,recall,SQLi,1.0
non_weighted_Ensemble,3,recall,File_Inclusion,1.0
non_weighted_Ensemble,3,recall,XSS,0.4916282963583089
non_weighted_Ensemble,3,f1_score,PW_Injection,0.9461789014203099
non_weighted_Ensemble,3,f1_score,SQLi,1.0
non_weighted_Ensemble,3,f1_score,File_Inclusion,1.0
non_weighted_Ensemble,3,f1_score,XSS,0.659183387119405
