model,attempt,score_type,attack_name
file_data_LSTM,8,accuracy,File_Inclusion,0.9608305010599993
file_data_LSTM,8,accuracy,XSS,0.847372361131906
file_data_LSTM,8,precision,PW_Injection,0.5
file_data_LSTM,8,precision,SQLi,0.5
file_data_LSTM,8,precision,File_Inclusion,0.5
file_data_LSTM,8,precision,XSS,0.06415538552089464
file_data_LSTM,8,recall,PW_Injection,0.4895321610578027
file_data_LSTM,8,recall,SQLi,0.499809958190802
file_data_LSTM,8,recall,File_Inclusion,0.0
file_data_LSTM,8,recall,XSS,0.5
file_data_LSTM,8,f1score,PW_Injection,0.4947107131257829
file_data_LSTM,8,f1score,SQLi,0.49990496103402393
file_data_LSTM,8,f1score,File_Inclusion,0.0
file_data_LSTM,8,f1score,XSS,0.11371935315597288
file_data_LSTM,9,accuracy,PW_Injection,0.5112299133456042
file_data_LSTM,9,accuracy,SQLi,0.9200780340454989
file_data_LSTM,9,accuracy,File_Inclusion,0.9623545285882948
file_data_LSTM,9,accuracy,XSS,0.8494330113397732
file_data_LSTM,9,precision,PW_Injection,0.5
file_data_LSTM,9,precision,SQLi,0.5
file_data_LSTM,9,precision,File_Inclusion,0.5
file_data_LSTM,9,precision,XSS,0.06853954971109782
file_data_LSTM,9,recall,PW_Injection,0.4895321610578027
file_data_LSTM,9,recall,SQLi,0.499809958190802
file_data_LSTM,9,recall,File_Inclusion,0.0
file_data_LSTM,9,recall,XSS,0.5
file_data_LSTM,9,f1score,PW_Injection,0.4947107131257829
file_data_LSTM,9,f1score,SQLi,0.49990496103402393
file_data_LSTM,9,f1score,File_Inclusion,0.0
file_data_LSTM,9,f1score,XSS,0.12055370597511826
file_data_LSTM,10,accuracy,PW_Injection,0.5116209030864454
file_data_LSTM,10,accuracy,SQLi,0.917486373034271
file_data_LSTM,10,accuracy,File_Inclusion,0.9622908796546141
file_data_LSTM,10,accuracy,XSS,0.8458621925005971
file_data_LSTM,10,precision,PW_Injection,0.5
file_data_LSTM,10,precision,SQLi,0.5
file_data_LSTM,10,precision,File_Inclusion,0.5
file_data_LSTM,10,precision,XSS,0.07011427464652334
file_data_LSTM,10,recall,PW_Injection,0.4895321610578027
file_data_LSTM,10,recall,SQLi,0.499809958190802
file_data_LSTM,10,recall,File_Inclusion,0.0
file_data_LSTM,10,recall,XSS,0.5
file_data_LSTM,10,f1score,PW_Injection,0.4947107131257829
file_data_LSTM,10,f1score,SQLi,0.49990496103402393
file_data_LSTM,10,f1score,File_Inclusion,0.0
file_data_LSTM,10,f1score,XSS,0.12298284355359267
payload_LSTM,1,accuracy,PW_Injection,0.5673630831643002
payload_LSTM,1,accuracy,SQLi,0.5416011354482335
payload_LSTM,1,accuracy,File_Inclusion,0.9796511627906976
payload_LSTM,1,accuracy,XSS,0.7612460824280698
payload_LSTM,1,precision,PW_Injection,0.0
payload_LSTM,1,precision,SQLi,0.16803020767778476
payload_LSTM,1,precision,File_Inclusion,0.0
payload_LSTM,1,precision,XSS,0.47626373626373625
payload_LSTM,1,recall,PW_Injection,0.4895321610578027
payload_LSTM,1,recall,SQLi,0.499809958190802
payload_LSTM,1,recall,File_Inclusion,0.0
payload_LSTM,1,recall,XSS,0.5
payload_LSTM,1,f1score,PW_Injection,0.0
payload_LSTM,1,f1score,SQLi,0.251506798681381
payload_LSTM,1,f1score,File_Inclusion,0.0
payload_LSTM,1,f1score,XSS,0.4878433138226024
payload_LSTM,2,accuracy,PW_Injection,0.5686202760667601
payload_LSTM,2,accuracy,SQLi,0.5419585116386175
payload_LSTM,2,accuracy,File_Inclusion,0.978006993006993
